WP, 27, 2024111000,   , MIWU, 0,  90N, 1464E,  20, 1007, WV, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Usagi,
WP, 27, 2024111006,   , MIWU, 0,  98N, 1444E,  20, 1006, WV,
WP, 27, 2024111012,   , MIWU, 0, 106N, 1424E,  25, 1004, WV,
WP, 27, 2024111018,   , MIWU, 0, 113N, 1408E,  30, 1002, TD,
WP, 27, 2024111100,   , MIWU, 0, 120N, 1392E,  30, 1001, TD,
WP, 27, 2024111106,   , MIWU, 0, 124N, 1378E,  35,  999, TS,
WP, 27, 2024111112,   , MIWU, 0, 126N, 1365E,  40,  996, TS,
WP, 27, 2024111118,   , MIWU, 0, 130N, 1351E,  45,  993, TS,
WP, 27, 2024111200,   , MIWU, 0, 135N, 1335E,  50,  990, TS,
WP, 27, 2024111206,   , MIWU, 0, 140N, 1321E,  55,  987, TS,
WP, 27, 2024111212,   , MIWU, 0, 144N, 1305E,  60,  984, TS,
WP, 27, 2024111218,   , MIWU, 0, 148N, 1290E,  70,  978, TY,
WP, 27, 2024111300,   , MIWU, 0, 152N, 1276E,  80,  972, TY,
WP, 27, 2024111306,   , MIWU, 0, 157N, 1263E,  90,  964, TY,
WP, 27, 2024111309,   , MIWU, 0, 159N, 1257E, 105,  950, TY,
WP, 27, 2024111312,   , MIWU, 0, 162N, 1251E, 120,  935, TY,
WP, 27, 2024111318,   , MIWU, 0, 166N, 1240E, 150,  906, ST,
WP, 27, 2024111400,   , MIWU, 0, 172N, 1231E, 130,  918, ST,
WP, 27, 2024111406,   , MIWU, 0, 179N, 1222E, 105,  945, TY,
WP, 27, 2024111412,   , MIWU, 0, 188N, 1214E,  65,  984, TY,
WP, 27, 2024111418,   , MIWU, 0, 197N, 1206E,  55,  992, TS,
WP, 27, 2024111500,   , MIWU, 0, 204N, 1202E,  60,  989, TS,
WP, 27, 2024111506,   , MIWU, 0, 211N, 1199E,  55,  992, TS,
WP, 27, 2024111512,   , MIWU, 0, 217N, 1198E,  45,  998, TS,
WP, 27, 2024111518,   , MIWU, 0, 221N, 1198E,  40, 1000, TS,
WP, 27, 2024111600,   , MIWU, 0, 223N, 1200E,  35, 1002, TS,
WP, 27, 2024111606,   , MIWU, 0, 223N, 1202E,  25, 1006, TD,
WP, 27, 2024111612,   , MIWU, 0, 222N, 1203E,  20, 1008, DB,
WP, 27, 2024111618,   , MIWU, 0, 220N, 1201E,  15, 1010, DB,
WP, 27, 2024111700,   , MIWU, 0, 220N, 1198E,  15, 1011, DB,
