WP, 18, 2024092306,   , MIWU, 0, 292N, 1294E,  20, 1008, SD, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Cimaron,
WP, 18, 2024092312,   , MIWU, 0, 288N, 1309E,  25, 1006, SD,
WP, 18, 2024092318,   , MIWU, 0, 284N, 1322E,  30, 1004, SD,
WP, 18, 2024092400,   , MIWU, 0, 281N, 1333E,  35, 1002, SS,
WP, 18, 2024092406,   , MIWU, 0, 279N, 1341E,  35, 1001, TS,
WP, 18, 2024092412,   , MIWU, 0, 280N, 1347E,  40,  999, TS,
WP, 18, 2024092418,   , MIWU, 0, 280N, 1350E,  40,  998, TS,
WP, 18, 2024092500,   , MIWU, 0, 278N, 1349E,  40,  998, TS,
WP, 18, 2024092506,   , MIWU, 0, 277N, 1343E,  35, 1000, TS,
WP, 18, 2024092512,   , MIWU, 0, 278N, 1336E,  30, 1002, TD,
WP, 18, 2024092518,   , MIWU, 0, 280N, 1330E,  25, 1004, TD,
WP, 18, 2024092600,   , MIWU, 0, 280N, 1325E,  25, 1004, TD,
WP, 18, 2024092606,   , MIWU, 0, 279N, 1322E,  25, 1005, TD,
WP, 18, 2024092612,   , MIWU, 0, 280N, 1320E,  25, 1005, TD,
WP, 18, 2024092618,   , MIWU, 0, 282N, 1320E,  30, 1003, EX,
WP, 18, 2024092700,   , MIWU, 0, 285N, 1323E,  30, 1002, EX,
WP, 18, 2024092706,   , MIWU, 0, 289N, 1327E,  35, 1000, EX,
WP, 18, 2024092712,   , MIWU, 0, 293N, 1331E,  35,  999, EX,
WP, 18, 2024092718,   , MIWU, 0, 298N, 1335E,  35,  999, EX,
WP, 18, 2024092800,   , MIWU, 0, 306N, 1341E,  30, 1001, EX,
WP, 18, 2024092806,   , MIWU, 0, 316N, 1349E,  25, 1003, EX,
WP, 18, 2024092812,   , MIWU, 0, 327N, 1362E,  20, 1005, EX,
